"storage_scope","schema_name","object_name","object_type","column_or_item","data_type","nullable","default_or_values","row_count_live_2026-05-10","relationship_or_access","client_usage","current_behavior","policy_note"
"Application database","public","focus_sessions","table","created_at","timestamptz","no","now()","480","Own-row RLS","Database default","Row creation timestamp","Operational metadata"
"Application database","public","notes","table","id","uuid","no","gen_random_uuid()","1","Primary key; RLS own-row all operations","useNotes add/update/delete/fetch","Unique note id","User content record identifier"
"Application database","public","notes","table","user_id","uuid","no","","1","FK to auth.users.id; RLS auth.uid() = user_id","Set from current Supabase user id when adding note","Links note to signed-in user","Account-linked user content"
"Application database","public","notes","table","content","text","no","empty string","1","Own-row RLS","NotesPanel user-entered note text","Stores user note content","User-generated content; may contain personal data entered by user"
"Application database","public","notes","table","is_completed","boolean","no","false","1","Own-row RLS","NotesPanel completion state","Stores note completion flag","User content status"
"Application database","public","notes","table","created_at","timestamptz","no","now()","1","Own-row RLS","Database default","Note creation timestamp","Usage/content metadata"
"Application database","public","notes","table","updated_at","timestamptz","no","now()","1","Own-row RLS","Database/default or update behavior","Note update timestamp","Usage/content metadata"
"Application database","public","app_activity_events","table","id","uuid","no","gen_random_uuid()","7","Primary key; RLS own-row insert/select","No current src reference found","Legacy/live table for app activity events","Legacy analytics/activity data still present in live DB"
"Application database","public","app_activity_events","table","user_id","uuid","no","","7","FK to auth.users.id; RLS auth.uid() = user_id","No current src reference found","Would link activity event to signed-in user","Account-linked activity data if used"
"Application database","public","app_activity_events","table","session_id","uuid","no","","7","Own-row RLS","No current src reference found","Would group app activity events by client session","Activity/session metadata if used"
"Application database","public","app_activity_events","table","event_type","text","no","app_open, visibility_visible, visibility_hidden","7","CHECK event_type in allowed values","No current src reference found","Legacy app lifecycle event type","Activity analytics; currently not collected by current client code"
"Application database","public","app_activity_events","table","occurred_at","timestamptz","no","now()","7","Own-row RLS","No current src reference found","Legacy event occurrence timestamp","Usage timestamp; can reveal activity patterns"
"Application database","public","app_activity_events","table","metadata","jsonb","no","{}","7","Own-row RLS","No current src reference found","Legacy event metadata payload","May contain event metadata depending old client implementation"
"Application database","public","app_activity_events","table","created_at","timestamptz","no","now()","7","Own-row RLS","No current src reference found","Legacy row creation timestamp","Operational metadata"
"Application database","public","get_user_analytics","rpc","target_user_id","uuid argument; returns json","n/a","","","SECURITY DEFINER; granted to authenticated; function checks auth.uid()","useAnalytics calls with current user.id","Returns aggregate focus/break/streak/XP analytics","Derived usage/progress analytics"
"Application database","public","get_user_infographics","rpc","target_user_id, anchor_date, target_timezone, period_mode","uuid/date/text args; returns json","n/a","period_mode default week","","SECURITY DEFINER; granted to authenticated; function checks auth.uid()","useInfographics calls with current user.id and local timezone","Returns aggregate dashboard/heatmap/hourly data","Derived usage analytics; includes local timezone argument"
"Application database","public","handle_focus_session_completed","trigger_function","after insert on focus_sessions","trigger","n/a","","","SECURITY DEFINER trigger on focus_sessions","Runs server-side after session insert","Updates derived gamification/progress profile fields","Derived progress processing"
"Application database","public","handle_new_user","trigger_function","after insert on auth.users","trigger","n/a","","","SECURITY DEFINER trigger on auth.users","Runs server-side when account is created","Creates default profile row","Account bootstrap processing"
"Browser localStorage","browser","localStorage","key","pomodoro-timer-settings","json","n/a","","","Stored only in user's browser unless synced after login","readUserSettings/writeUserSettings; settings controller","Stores timer/audio settings locally for guests and signed-in users","Local preference data; guest settings are browser-local"
"Browser localStorage","browser","localStorage","key","pomodoro-timer-state","json","n/a","","","Stored only in user's browser","readTimerState/writeTimerState in usePomodoroTimer","Stores current timer mode/status/timeLeft/targetTimestamp/sessionStartedAt/accumulatedSeconds","Local timer state; can continue current timer after reload"
"Browser localStorage","browser","localStorage","key","pomodoro_sync_queue:<userId>","json array","n/a","","","Stored only in user's browser; keyed by signed-in user id","focusSessionLedger queue used by useSyncSession","Queues signed-in sessions before insert/flush to Supabase","Local retry queue for authenticated session sync"
"Browser localStorage","browser","localStorage","key","pomodoro-active-skin","string","n/a","","","Stored only in user's browser","ThemePickerModal/skin store","Stores selected visual theme","Local UI preference"
"Browser localStorage","browser","Supabase client auth storage","key","Supabase auth session keys","json/token data","n/a","","","Managed by supabase-js in browser storage","AuthProvider getSession/onAuthStateChange","Stores auth session/refresh token client-side for login persistence","Sensitive local auth token data"
"External service link","external","Ko-fi","outbound_link","https://ko-fi.com/forgetimerdev","url","n/a","","","Third-party site; not stored in Supabase by this app","KoFiButton opens external link","Click navigates user to Ko-fi","Policy may mention external link/third-party processing"
"External auth provider","external","Google OAuth","provider","Google identity data","oauth profile payload","n/a","","","Processed by Supabase Auth and Google","AuthBlock signInWithOAuth provider google","Used for sign-in; identity data stored in Supabase Auth identities/users","Policy should mention Google sign-in if enabled"
